#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
603_g                -            823 4695at5794           -            682         0 1422.2   5.3   1   2         0         0 1361.1   2.0     1   645    28   713    28   724 0.97 -
603_g                -            823 4695at5794           -            682         0 1422.2   5.3   2   2   2.7e-20   6.8e-18   62.4   0.1   635   678   745   788   723   791 0.90 -
2608_g               -           1203 4695at5794           -            682  4.3e-223  740.5  13.1   1   4   9.3e-05     0.023   11.0   2.4    20   113   367   482   359   485 0.71 -
2608_g               -           1203 4695at5794           -            682  4.3e-223  740.5  13.1   2   4  3.7e-105  9.3e-103  342.8   0.4   119   375   516   776   510   787 0.96 -
2608_g               -           1203 4695at5794           -            682  4.3e-223  740.5  13.1   3   4  5.1e-118  1.3e-115  385.3   0.0   370   656   867  1154   859  1162 0.94 -
2608_g               -           1203 4695at5794           -            682  4.3e-223  740.5  13.1   4   4    0.0048       1.2    5.4   0.1   642   673  1165  1196  1162  1200 0.93 -
1768_g               -           1227 4695at5794           -            682  1.1e-103  345.9   3.7   1   4     6e-10   1.5e-07   28.2   0.0   416   472   373   430   357   465 0.80 -
1768_g               -           1227 4695at5794           -            682  1.1e-103  345.9   3.7   2   4   1.1e-23   2.7e-21   73.6   0.9   231   365   516   651   498   655 0.88 -
1768_g               -           1227 4695at5794           -            682  1.1e-103  345.9   3.7   3   4   3.6e-71   9.2e-69  230.5   0.0   388   601   751   965   746   970 0.96 -
1768_g               -           1227 4695at5794           -            682  1.1e-103  345.9   3.7   4   4    0.0001     0.026   10.9   0.0   608   648  1141  1181  1130  1212 0.63 -
2111_g               -           1098 4695at5794           -            682   5.8e-85  284.0   0.1   1   2   2.8e-11   6.9e-09   32.6   0.0   420   636   234   438   221   441 0.73 -
2111_g               -           1098 4695at5794           -            682   5.8e-85  284.0   0.1   2   2   4.8e-76   1.2e-73  246.6   0.0   390   637   572   821   558   840 0.92 -
4113_g               -            448 4695at5794           -            682   3.2e-64  215.5   0.1   1   1     2e-66     5e-64  214.8   0.1   142   369   188   422   164   436 0.89 -
3386_g               -            393 4695at5794           -            682   2.6e-62  209.1   0.0   1   1   1.4e-64   3.4e-62  208.8   0.0   399   653   120   378    90   390 0.89 -
2487_g               -            425 4695at5794           -            682     9e-62  207.4   0.0   1   1   4.1e-64     1e-61  207.2   0.0   406   656   158   410    72   421 0.93 -
4664_g               -            442 4695at5794           -            682   3.6e-61  205.4   0.0   1   1   2.2e-63   5.5e-61  204.8   0.0   406   654   178   429   171   439 0.93 -
1939_g               -            394 4695at5794           -            682   2.6e-60  202.5   0.8   1   1   2.7e-62   6.7e-60  201.2   0.8   110   371   104   368    77   378 0.87 -
1989_g               -            421 4695at5794           -            682   7.3e-60  201.1   0.2   1   1     4e-62     1e-59  200.6   0.2   138   372   154   394   139   407 0.92 -
1150_g               -            703 4695at5794           -            682   2.5e-54  182.8   0.3   1   1   1.6e-56   4.1e-54  182.1   0.3   407   653   239   490   215   504 0.90 -
2412_g               -            898 4695at5794           -            682   2.6e-54  182.7   0.0   1   1   1.6e-56   4.1e-54  182.1   0.0   412   643   176   413   161   444 0.86 -
4561_g               -            735 4695at5794           -            682   1.1e-49  167.5   0.3   1   1   6.2e-52   1.6e-49  166.9   0.3   140   365   153   390   120   408 0.87 -
4397_g               -            783 4695at5794           -            682   3.4e-46  155.9   0.2   1   2   2.6e-43   6.5e-41  138.4   0.1   441   641   278   494   246   514 0.83 -
4397_g               -            783 4695at5794           -            682   3.4e-46  155.9   0.2   2   2   1.7e-05    0.0042   13.5   0.0   182   251   569   639   559   686 0.86 -
2899_g               -            745 4695at5794           -            682   1.2e-43  147.4   0.0   1   1     7e-46   1.8e-43  146.9   0.0   412   640   464   696   452   728 0.90 -
1219_g               -            447 4695at5794           -            682   2.3e-43  146.5   0.0   1   3   1.7e-43   4.2e-41  139.1   0.0   411   597   113   298    99   307 0.92 -
1219_g               -            447 4695at5794           -            682   2.3e-43  146.5   0.0   2   3     0.073        18    1.5   0.0   606   636   332   362   325   376 0.82 -
1219_g               -            447 4695at5794           -            682   2.3e-43  146.5   0.0   3   3     0.055        14    1.9   0.0   645   672   413   440   408   443 0.88 -
2659_g               -           1112 4695at5794           -            682   9.2e-23   78.5   0.0   1   2   1.5e-20   3.8e-18   63.2   0.0   442   552   563   680   533   691 0.78 -
2659_g               -           1112 4695at5794           -            682   9.2e-23   78.5   0.0   2   2   2.3e-05    0.0059   13.0   0.0   549   576   803   830   791   837 0.89 -
4752_g               -            616 4695at5794           -            682   8.6e-16   55.4   0.0   1   1   4.8e-18   1.2e-15   54.9   0.0   439   593   323   496   295   512 0.74 -
2574_g               -            671 4695at5794           -            682   8.2e-14   48.9   0.0   1   1   4.9e-16   1.2e-13   48.3   0.0   426   628   327   541   321   555 0.73 -
2640_g               -           1062 4695at5794           -            682   4.8e-13   46.4   0.1   1   2     0.072        18    1.5   0.0   604   639   623   658   602   666 0.81 -
2640_g               -           1062 4695at5794           -            682   4.8e-13   46.4   0.1   2   2   2.8e-14     7e-12   42.5   0.0   441   532   811   903   779   953 0.78 -
746_g                -            547 4695at5794           -            682   1.6e-06   24.7   0.0   1   2   0.00014     0.035   10.4   0.0   442   481   301   340   281   347 0.81 -
746_g                -            547 4695at5794           -            682   1.6e-06   24.7   0.0   2   2   4.3e-05     0.011   12.1   0.0   538   584   430   476   412   499 0.87 -
397_g                -            484 4695at5794           -            682   0.00086   15.8   0.7   1   2   5.5e-06    0.0014   15.1   0.2   179   279    62   170    52   192 0.72 -
397_g                -            484 4695at5794           -            682   0.00086   15.8   0.7   2   2       1.4   3.5e+02   -2.8   0.0     7    45   246   284   240   300 0.59 -
1182_g               -            205 4695at5794           -            682     0.013   11.8   0.2   1   1   8.9e-05     0.022   11.1   0.1   379   436   107   166    88   172 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/4695at5794.hmm
# Target file:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pc_new.faa
# Option settings: hmmsearch --domtblout /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pc/run_apicomplexa_odb10/hmmer_output/initial_run_results/4695at5794.out --cpu 1 /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/busco_downloads/lineages/apicomplexa_odb10/hmms/4695at5794.hmm /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed/Pc_new.faa 
# Current dir:     /mnt/e/Bioinformatics/Semester2/BINP29/Malaria Project/Genomes/Parsed
# Date:            Wed Mar  1 19:28:15 2023
# [ok]
